,days,bugs,diff,bug_diff,mean
0,9,35,9,35,3.888888889
1,12,55,3,20,6.666666667
2,18,249,6,194,32.33333333
3,23,345,5,96,19.2
4,28,420,5,75,15
5,32,572,4,152,38
6,35,625,3,53,17.66666667
7,38,803,3,178,59.33333333
8,43,979,5,176,35.2
9,47,1054,4,75,18.75
10,51,1201,4,147,36.75
11,54,1216,3,15,5
12,59,1255,5,39,7.8
13,66,1373,7,118,16.85714286
14,72,1464,6,91,15.16666667
15,80,1537,8,73,9.125
16,83,1694,3,157,52.33333333
17,87,1759,4,65,16.25
18,93,1783,6,24,4
19,96,1979,3,196,65.33333333
20,102,2147,6,168,28
21,105,2307,3,160,53.33333333
22,108,2364,3,57,19
23,111,2480,3,116,38.66666667
24,117,2591,6,111,18.5
25,119,2601,2,10,5
26,123,2741,4,140,35
27,127,2848,4,107,26.75
28,129,2890,2,42,21
29,132,2967,3,77,25.66666667
30,136,3069,4,102,25.5
31,139,3113,3,44,14.66666667
32,147,3181,8,68,8.5
33,151,3320,4,139,34.75
34,158,3370,7,50,7.142857143
35,163,3534,5,164,32.8
36,165,3716,2,182,91
37,168,3796,3,80,26.66666667
38,170,3887,2,91,45.5
39,178,3931,8,44,5.5
40,185,3994,7,63,9
41,188,4040,3,46,15.33333333
42,191,4136,3,96,32
43,194,4301,3,165,55
44,199,4794,5,493,98.6
45,199,4798,0,4,4
46,199,4800,0,2,2
47,205,4853,6,53,8.833333333
48,211,4896,6,43,7.166666667
49,216,4933,5,37,7.4
50,220,5120,4,187,46.75
51,226,5173,6,53,8.833333333
52,233,5331,7,158,22.57142857
53,238,5393,5,62,12.4
54,241,5447,3,54,18
55,247,5502,6,55,9.166666667
56,252,5595,5,93,18.6
57,255,5640,3,45,15
58,258,5689,3,49,16.33333333
59,264,5935,6,246,41
60,267,5959,3,24,8
61,270,5981,3,22,7.333333333
62,276,6091,6,110,18.33333333
63,278,6114,2,23,11.5
64,279,6116,1,2,2
65,283,6146,4,30,7.5
66,285,6364,2,218,109
67,297,6531,12,167,13.91666667
68,301,6622,4,91,22.75
69,307,6738,6,116,19.33333333
70,311,6865,4,127,31.75
71,318,7035,7,170,24.28571429
72,321,7099,3,64,21.33333333
73,326,7239,5,140,28
74,332,7333,6,94,15.66666667
75,335,7378,3,45,15
76,340,7488,5,110,22
77,342,7529,2,41,20.5
78,357,7673,15,144,9.6
79,363,7704,6,31,5.166666667
80,366,7927,3,223,74.33333333
81,374,8051,8,124,15.5
82,376,8073,2,22,11
83,380,8133,4,60,15
84,384,8229,4,96,24
85,388,8379,4,150,37.5
86,391,8435,3,56,18.66666667
87,396,8503,5,68,13.6
88,400,8594,4,91,22.75
89,404,8667,4,73,18.25
90,412,8704,8,37,4.625
91,423,8802,11,98,8.909090909
92,427,8911,4,109,27.25
93,430,8939,3,28,9.333333333
94,437,9001,7,62,8.857142857
95,440,9065,3,64,21.33333333
96,445,9134,5,69,13.8
97,451,9181,6,47,7.833333333
98,457,9383,6,202,33.66666667
99,460,9419,3,36,12
